newsIDs,ratios,invisible_by_news,visible_by_news
909722,0.7142857142857143,5.0,7.0
815607,0.7142857142857143,15.0,21.0
790071,0.7,7.0,10.0
895373,0.7,7.0,10.0
803975,0.7,21.0,30.0
862198,0.7,7.0,10.0
928403,0.7,7.0,10.0
898861,0.7,21.0,30.0
899612,0.6956521739130435,16.0,23.0
805633,0.6956521739130435,16.0,23.0
899566,0.6923076923076923,27.0,39.0
844844,0.6923076923076923,9.0,13.0
841822,0.6923076923076923,9.0,13.0
788283,0.6914893617021277,65.0,94.0
826729,0.6875,11.0,16.0
820465,0.6842105263157895,13.0,19.0
863856,0.68,17.0,25.0
821570,0.6666666666666666,6.0,9.0
856764,0.6666666666666666,4.0,6.0
936540,0.6666666666666666,28.0,42.0
905518,0.6666666666666666,4.0,6.0
878175,0.6666666666666666,4.0,6.0
907934,0.6666666666666666,4.0,6.0
890240,0.6666666666666666,4.0,6.0
895027,0.6666666666666666,4.0,6.0
941501,0.6666666666666666,4.0,6.0
877790,0.6666666666666666,4.0,6.0
889897,0.6666666666666666,6.0,9.0
862272,0.6666666666666666,4.0,6.0
841565,0.6666666666666666,16.0,24.0
823940,0.6666666666666666,50.0,75.0
921149,0.6666666666666666,6.0,9.0
926114,0.6666666666666666,4.0,6.0
904913,0.6666666666666666,4.0,6.0
899184,0.6666666666666666,8.0,12.0
830074,0.6666666666666666,4.0,6.0
896990,0.6666666666666666,4.0,6.0
940663,0.6666666666666666,4.0,6.0
843101,0.6666666666666666,8.0,12.0
885428,0.6666666666666666,6.0,9.0
790879,0.6666666666666666,10.0,15.0
887043,0.6666666666666666,6.0,9.0
839892,0.6666666666666666,4.0,6.0
937521,0.6666666666666666,4.0,6.0
900146,0.6666666666666666,8.0,12.0
894502,0.6666666666666666,4.0,6.0
866557,0.6666666666666666,10.0,15.0
838715,0.6666666666666666,12.0,18.0
839927,0.6666666666666666,6.0,9.0
818137,0.6666666666666666,4.0,6.0
823261,0.6666666666666666,6.0,9.0
838498,0.6666666666666666,4.0,6.0
899916,0.6666666666666666,4.0,6.0
859009,0.6640625,85.0,128.0
838107,0.6575342465753424,48.0,73.0
862225,0.6571428571428571,46.0,70.0
915849,0.6428571428571429,18.0,28.0
864593,0.6415094339622641,34.0,53.0
910104,0.64,16.0,25.0
803940,0.6363636363636364,35.0,55.0
886830,0.6363636363636364,7.0,11.0
857317,0.631578947368421,12.0,19.0
823931,0.6307692307692307,41.0,65.0
861465,0.625,5.0,8.0
819707,0.625,5.0,8.0
855370,0.625,5.0,8.0
787676,0.625,5.0,8.0
875114,0.625,5.0,8.0
845323,0.625,5.0,8.0
844469,0.625,5.0,8.0
890529,0.625,5.0,8.0
816615,0.625,5.0,8.0
876437,0.625,5.0,8.0
815518,0.625,5.0,8.0
941222,0.625,5.0,8.0
811585,0.625,5.0,8.0
894538,0.625,5.0,8.0
831277,0.625,10.0,16.0
875301,0.625,5.0,8.0
851197,0.625,5.0,8.0
834432,0.625,5.0,8.0
847692,0.625,15.0,24.0
881706,0.625,5.0,8.0
859288,0.625,5.0,8.0
783981,0.6190476190476191,13.0,21.0
855694,0.6153846153846154,8.0,13.0
793552,0.6153846153846154,8.0,13.0
931602,0.6153846153846154,8.0,13.0
839659,0.6111111111111112,22.0,36.0
860829,0.6,12.0,20.0
865790,0.6,6.0,10.0
868714,0.6,15.0,25.0
839367,0.6,6.0,10.0
787715,0.6,9.0,15.0
827286,0.6,6.0,10.0
814775,0.6,9.0,15.0
922596,0.6,9.0,15.0
799314,0.6,9.0,15.0
825328,0.6,15.0,25.0
884757,0.6,12.0,20.0
786804,0.6,6.0,10.0
788912,0.6,6.0,10.0
887727,0.6,6.0,10.0
841128,0.5957446808510638,28.0,47.0
860264,0.5925925925925926,16.0,27.0
838178,0.5909090909090909,13.0,22.0
839975,0.5882352941176471,10.0,17.0
848551,0.5877192982456141,67.0,114.0
821417,0.5853658536585366,24.0,41.0
860268,0.5833333333333334,28.0,48.0
788528,0.5833333333333334,7.0,12.0
863408,0.5818181818181818,32.0,55.0
895292,0.5806451612903226,18.0,31.0
840107,0.5714285714285714,4.0,7.0
865403,0.5714285714285714,4.0,7.0
788145,0.5714285714285714,8.0,14.0
899576,0.5714285714285714,4.0,7.0
816435,0.5714285714285714,4.0,7.0
902778,0.5714285714285714,4.0,7.0
800535,0.5714285714285714,4.0,7.0
896618,0.5714285714285714,4.0,7.0
892283,0.5714285714285714,4.0,7.0
898162,0.5714285714285714,4.0,7.0
872369,0.5714285714285714,4.0,7.0
871428,0.5714285714285714,4.0,7.0
853654,0.5714285714285714,4.0,7.0
906093,0.5714285714285714,4.0,7.0
862221,0.5714285714285714,8.0,14.0
880109,0.5714285714285714,4.0,7.0
854736,0.5714285714285714,4.0,7.0
886261,0.5714285714285714,4.0,7.0
892453,0.5714285714285714,4.0,7.0
828695,0.5714285714285714,8.0,14.0
892655,0.5714285714285714,4.0,7.0
839297,0.5714285714285714,4.0,7.0
827577,0.5714285714285714,4.0,7.0
833778,0.5625,9.0,16.0
897134,0.5625,9.0,16.0
864158,0.56,14.0,25.0
895253,0.5576923076923077,29.0,52.0
823946,0.5555555555555556,5.0,9.0
840640,0.5555555555555556,5.0,9.0
813724,0.5555555555555556,5.0,9.0
895214,0.5555555555555556,5.0,9.0
797719,0.5555555555555556,5.0,9.0
836361,0.5555555555555556,20.0,36.0
897808,0.5555555555555556,5.0,9.0
860464,0.5555555555555556,5.0,9.0
830294,0.5555555555555556,5.0,9.0
851740,0.5555555555555556,5.0,9.0
924493,0.5555555555555556,5.0,9.0
851954,0.5555555555555556,5.0,9.0
866019,0.5555555555555556,5.0,9.0
820049,0.5555555555555556,5.0,9.0
766494,0.5555555555555556,5.0,9.0
798759,0.5555555555555556,5.0,9.0
847863,0.5555555555555556,5.0,9.0
899316,0.5555555555555556,5.0,9.0
935950,0.5531914893617021,26.0,47.0
862215,0.5531914893617021,26.0,47.0
803625,0.5517241379310345,32.0,58.0
844551,0.5517241379310345,16.0,29.0
851854,0.55,11.0,20.0
800237,0.55,11.0,20.0
933767,0.5454545454545454,6.0,11.0
855292,0.5454545454545454,6.0,11.0
880874,0.5454545454545454,6.0,11.0
895469,0.5454545454545454,6.0,11.0
846231,0.5454545454545454,6.0,11.0
864166,0.5454545454545454,6.0,11.0
856108,0.5454545454545454,24.0,44.0
819908,0.5454545454545454,12.0,22.0
826896,0.5454545454545454,6.0,11.0
900914,0.5454545454545454,6.0,11.0
869069,0.5454545454545454,6.0,11.0
828362,0.5454545454545454,6.0,11.0
838975,0.5441176470588235,37.0,68.0
825015,0.5441176470588235,37.0,68.0
838155,0.5434782608695652,25.0,46.0
895317,0.5416666666666666,13.0,24.0
824624,0.5416666666666666,13.0,24.0
885300,0.5409836065573771,33.0,61.0
824444,0.5384615384615384,7.0,13.0
813264,0.5384615384615384,21.0,39.0
822700,0.5384615384615384,7.0,13.0
934245,0.5384615384615384,14.0,26.0
827729,0.5384615384615384,21.0,39.0
786089,0.5384615384615384,7.0,13.0
935728,0.5384615384615384,14.0,26.0
903234,0.5384615384615384,7.0,13.0
784246,0.5384615384615384,7.0,13.0
817924,0.5384615384615384,7.0,13.0
920448,0.5333333333333333,8.0,15.0
929371,0.5333333333333333,8.0,15.0
858934,0.5333333333333333,16.0,30.0
766731,0.5333333333333333,8.0,15.0
895157,0.5319148936170213,25.0,47.0
820028,0.5294117647058824,9.0,17.0
801068,0.5294117647058824,9.0,17.0
851226,0.5294117647058824,9.0,17.0
895318,0.5289256198347108,64.0,121.0
891319,0.5277777777777778,19.0,36.0
866554,0.5263157894736842,10.0,19.0
877097,0.525,21.0,40.0
896341,0.5238095238095238,11.0,21.0
806682,0.5217391304347826,12.0,23.0
823970,0.5217391304347826,12.0,23.0
803774,0.5205479452054794,38.0,73.0
817231,0.52,13.0,25.0
856819,0.5161290322580645,16.0,31.0
932959,0.5135135135135135,19.0,37.0
817459,0.5116279069767442,22.0,43.0
803996,0.5102040816326531,25.0,49.0
894453,0.5,3.0,6.0
894436,0.5,3.0,6.0
920605,0.5,3.0,6.0
838116,0.5,5.0,10.0
869756,0.5,51.0,102.0
891791,0.5,4.0,8.0
822569,0.5,11.0,22.0
840115,0.5,13.0,26.0
894481,0.5,3.0,6.0
827349,0.5,4.0,8.0
912987,0.5,3.0,6.0
861193,0.5,5.0,10.0
894981,0.5,3.0,6.0
783965,0.5,3.0,6.0
869574,0.5,4.0,8.0
827416,0.5,3.0,6.0
857260,0.5,7.0,14.0
847032,0.5,3.0,6.0
821910,0.5,3.0,6.0
927091,0.5,8.0,16.0
924814,0.5,3.0,6.0
927202,0.5,3.0,6.0
904090,0.5,3.0,6.0
857625,0.5,16.0,32.0
908625,0.5,6.0,12.0
861224,0.5,3.0,6.0
941068,0.5,3.0,6.0
866599,0.5,9.0,18.0
894396,0.5,3.0,6.0
863883,0.5,4.0,8.0
